Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
Paavo Aaltonen,M,Finland,FIN,1948,London,Gymnastics,Gymnastics Men's Parallel Bars,No medal
Paavo Aaltonen,M,Finland,FIN,1948,London,Gymnastics,Gymnastics Men's Horizontal Bar,No medal
Paavo Aaltonen,M,Finland,FIN,1948,London,Gymnastics,Gymnastics Men's Rings,No medal
Paavo Aaltonen,M,Finland,FIN,1948,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
Paavo Aaltonen,M,Finland,FIN,1952,Helsinki,Gymnastics,Gymnastics Men's Individual All-Around,No medal
Paavo Aaltonen,M,Finland,FIN,1952,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Paavo Aaltonen,M,Finland,FIN,1952,Helsinki,Gymnastics,Gymnastics Men's Floor Exercise,No medal
Paavo Aaltonen,M,Finland,FIN,1952,Helsinki,Gymnastics,Gymnastics Men's Horse Vault,No medal
Paavo Aaltonen,M,Finland,FIN,1952,Helsinki,Gymnastics,Gymnastics Men's Parallel Bars,No medal
Paavo Aaltonen,M,Finland,FIN,1952,Helsinki,Gymnastics,Gymnastics Men's Horizontal Bar,No medal
Paavo Aaltonen,M,Finland,FIN,1952,Helsinki,Gymnastics,Gymnastics Men's Rings,No medal
Paavo Aaltonen,M,Finland,FIN,1952,Helsinki,Gymnastics,Gymnastics Men's Pommelled Horse,No medal
Timo Aaltonen,M,Finland,FIN,2000,Sydney,Athletics,Athletics Men's Shot Put,No medal
Win Aaltonen,M,Finland,FIN,1948,London,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event",No medal
Ragnhild Aamodt,F,Norway,NOR,2008,Beijing,Handball,Handball Women's Handball,Gold
Andreea Aanei,F,Romania,ROU,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Super-Heavyweight,No medal
Fritz Aanes,M,Norway,NOR,2000,Sydney,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",No medal
Fritz Aanes,M,Norway,NOR,2004,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",No medal
Alf Aanning,M,Norway,NOR,1920,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
Johan Aantjes,M,Netherlands,NED,1984,Los Angeles,Water Polo,Water Polo Men's Water Polo,No medal
Jan-Erik Aarberg,M,Norway,NOR,1968,Mexico City,Sailing,Sailing Mixed Three Person Keelboat,No medal
Jan-Erik Aarberg,M,Norway,NOR,1972,Munich,Sailing,Sailing Mixed Three Person Keelboat,No medal
Willemien Aardenburg,F,Netherlands,NED,1988,Seoul,Hockey,Hockey Women's Hockey,Bronze
Pepijn Aardewijn,M,Netherlands,NED,1996,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Silver
Pepijn Aardewijn,M,Netherlands,NED,2000,Sydney,Rowing,Rowing Men's Lightweight Double Sculls,No medal
Evald (rman-),M,Estonia,EST,1936,Berlin,Athletics,Athletics Men's Pole Vault,No medal
Olav Aarnes,M,Norway,NOR,1912,Stockholm,Athletics,Athletics Men's High Jump,No medal
Mika Aarnikka,M,Finland,FIN,1992,Barcelona,Sailing,Sailing Men's Two Person Dinghy,No medal
Mika Aarnikka,M,Finland,FIN,1996,Atlanta,Sailing,Sailing Men's Two Person Dinghy,No medal
Jamale (ahrass-),M,France,FRA,2012,London,Athletics,"Athletics Men's 1,500 metres",No medal
Stefan Aartsen,M,Netherlands,NED,1996,Atlanta,Swimming,Swimming Men's 100 metres Butterfly,No medal
Stefan Aartsen,M,Netherlands,NED,1996,Atlanta,Swimming,Swimming Men's 200 metres Butterfly,No medal
Stefan Aartsen,M,Netherlands,NED,1996,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,No medal
Stefan Aartsen,M,Netherlands,NED,2000,Sydney,Swimming,Swimming Men's 100 metres Butterfly,No medal
Stefan Aartsen,M,Netherlands,NED,2000,Sydney,Swimming,Swimming Men's 200 metres Butterfly,No medal
Ann Aarnes,F,Norway,NOR,1996,Atlanta,Football,Football Women's Football,Bronze
Karl Aas,M,Norway,NOR,1920,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
Lars Aas,M,Norway,NOR,1912,Stockholm,Fencing,"Fencing Men's Foil, Individual",No medal
Lars Aas,M,Norway,NOR,1912,Stockholm,Fencing,"Fencing Men's epee, Individual",No medal
Lars Aas,M,Norway,NOR,1912,Stockholm,Fencing,"Fencing Men's epee, Team",No medal
Rolf Aas,M,Norway,NOR,1920,Antwerpen,Football,Football Men's Football,No medal
Thomas Aas,M,Taifun,NOR,1912,Stockholm,Sailing,Sailing Mixed 8 metres,Gold
Morten Aasen,M,Norway,NOR,1992,Barcelona,Equestrianism,"Equestrianism Mixed Jumping, Individual",No medal
Hakon Aasns,M,Norway,NOR,1936,Berlin,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",No medal
Hans Aasns,M,Norway,NOR,1936,Berlin,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal
Hans Aasns,M,Norway,NOR,1948,London,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres",No medal
Hans Aasns,M,Norway,NOR,1952,Helsinki,Shooting,Shooting Men's Trap,No medal
Hans Aasns,M,Norway,NOR,1956,Melbourne,Shooting,Shooting Men's Trap,No medal
Hans Aasns,M,Norway,NOR,1960,Roma,Shooting,Shooting Men's Trap,No medal
Erling Aastad,M,Norway,NOR,1920,Antwerpen,Athletics,Athletics Men's 4 x 100 metres Relay,No medal
Erling Aastad,M,Norway,NOR,1920,Antwerpen,Athletics,Athletics Men's Long Jump,No medal
Erling Aastad,M,Norway,NOR,1924,Paris,Athletics,Athletics Men's Long Jump,No medal
Erling Aastad,M,Norway,NOR,1928,Amsterdam,Athletics,Athletics Men's Long Jump,No medal
Abdelhak Aatakni,M,Morocco,MAR,2012,London,Boxing,Boxing Men's Light-Welterweight,No medal
Moonika Aava,F,Estonia,EST,2004,Athina,Athletics,Athletics Women's Javelin Throw,No medal
Moonika Aava,F,Estonia,EST,2008,Beijing,Athletics,Athletics Women's Javelin Throw,No medal
Arvi Aavik,M,Estonia,EST,1992,Barcelona,Wrestling,"Wrestling Men's Heavyweight, Freestyle",No medal
Arvi Aavik,M,Estonia,EST,1996,Atlanta,Wrestling,"Wrestling Men's Heavyweight, Freestyle",No medal
Nstor Sanjun,M,Spain,ESP,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Individual All-Around,No medal
Nstor Sanjun,M,Spain,ESP,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Floor Exercise,No medal
Nstor Sanjun,M,Spain,ESP,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Parallel Bars,No medal
Nstor Sanjun,M,Spain,ESP,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Horizontal Bar,No medal
Nstor Sanjun,M,Spain,ESP,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,No medal
Nstor Sanjun,M,Spain,ESP,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,No medal
Patrick Abada,M,France,FRA,1976,Montreal,Athletics,Athletics Men's Pole Vault,No medal
Talaat Abada,M,Egypt,EGY,2000,Sydney,Taekwondo,Taekwondo Men's Flyweight,No medal
Mohamed Abadi,M,Iran,IRI,1948,London,Boxing,Boxing Men's Heavyweight,No medal
Antonio Beci,M,Spain,ESP,2016,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",No medal
Ren Abadie,M,France,FRA,1956,Melbourne,Cycling,"Cycling Men's Road Race, Individual",No medal
Ren Abadie,M,France,FRA,1956,Melbourne,Cycling,"Cycling Men's Road Race, Team",Gold
Borislav Abadzhiev,M,Bulgaria,BUL,1988,Seoul,Boxing,Boxing Men's Light-Welterweight,No medal
Georgi Abadzhiev,M,Bulgaria,BUL,1924,Paris,Cycling,"Cycling Men's Road Race, Individual",No medal
Georgi Abadzhiev,M,Bulgaria,BUL,1924,Paris,Cycling,"Cycling Men's Road Race, Team",No medal
Ivan Abadzhiev,M,Bulgaria,BUL,1956,Melbourne,Weightlifting,Weightlifting Men's Lightweight,No medal
Ivan Abadzhiev,M,Bulgaria,BUL,1960,Roma,Weightlifting,Weightlifting Men's Middleweight,No medal
Mikhail Abadzhiev,M,Bulgaria,BUL,1960,Roma,Weightlifting,Weightlifting Men's Middleweight,No medal
Stefan Abadzhiev,M,Bulgaria,BUL,1960,Roma,Football,Football Men's Football,No medal
Giovanni Abagnale,M,Italy,ITA,2016,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze
Jos Gmez,M,Spain,ESP,2008,Beijing,Fencing,"Fencing Men's epee, Individual",Bronze
M'Bairo Abakar,M,Chad,CHA,1992,Barcelona,Judo,Judo Men's Half-Middleweight,No medal
Patimat Abakarova,F,Azerbaijan,AZE,2016,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Bronze
